name,location,distance,start_date,end_date,category,search_location,search_time
Tournoi 30/2 à 30/1,"TENNIS CLUB WISSOUS 91, WISSOUS","3,1 km",20/oct/2022,31/août/2023,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:12:57
Tournoi interne 30 à 15/2,"TENNIS CLUB WISSOUS 91, WISSOUS","3,1 km",1/oct/2022,31/août/2023,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:12:57
Tournoi interne,"TENNIS CLUB WISSOUS 91, WISSOUS","3,1 km",1/oct/2022,31/août/2023,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:12:57
Tournoi interne TCMCM,"T.C.M. CHILLY-MAZARIN, CHILLY MAZARIN","3,3 km",10/déc/2022,23/avr/2023,DD / SD / DM / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:12:57
"Tournoi journée Nov / Déc 2022 ""NC à 15/1""","T.C.M. CHILLY-MAZARIN, CHILLY MAZARIN","3,3 km",29/oct/2022,4/déc/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:12:58
"Tournoi journée Nov / Déc 2022 ""15/3 à -4/6""","T.C.M. CHILLY-MAZARIN, CHILLY MAZARIN","3,3 km",29/oct/2022,4/déc/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:12:58
TC Longjumeau - Tournoi Interne,"T.C. LONGJUMEAU, LONGJUMEAU","3,6 km",1/nov/2022,30/juin/2023,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:12:58
TMC jeunes balles vertes au TC IGNY,"T.C. IGNY, IGNY","4,0 km",27/oct/2022,28/oct/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:12:58
Tournoi interne Dames & Messieurs 30 à 4/6,"T.C. IGNY, IGNY","4,0 km",26/sept/2022,25/juin/2023,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:12:59
Tournoi interne Dames & Messieurs NC à 30/1,"T.C. IGNY, IGNY","4,0 km",26/sept/2022,25/juin/2023,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:12:59
MORANGIS Toussaint 15/5 à 0 - Matchs qu'en journée,"T.M. MORANGIS, MORANGIS","4,5 km",20/oct/2022,6/nov/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:12:59
Tournoi interne Morangis 2023,"T.M. MORANGIS, MORANGIS","4,5 km",7/nov/2022,2/juil/2023,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:12:59
Tournoi MORANGIS Toussaint NC à 15,"T.M. MORANGIS, MORANGIS","4,5 km",21/oct/2022,6/nov/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:12:59
Tournoi Open Seniors Toussaint,"T.C. VILLEBON, VILLEBON SUR YVETTE","4,7 km",22/oct/2022,6/nov/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:00
TMC CHATENAY MALABRY 11/12 ans,"CHATENAY-MALABRY TENNIS, CHATENAY MALABRY","4,8 km",4/nov/2022,5/nov/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:00
CHATENAY MALABRY TMC MIXTE 8/10 VERT,"CHATENAY-MALABRY TENNIS, CHATENAY MALABRY","4,8 km",27/oct/2022,29/oct/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:00
CHATENAY MALABRY TMC MIXTE 8/10 VERT,"CHATENAY-MALABRY TENNIS, CHATENAY MALABRY","4,8 km",2/nov/2022,3/nov/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:00
CHATENAY MALABRY TMC H 30/3 15/5,"CHATENAY-MALABRY TENNIS, CHATENAY MALABRY","4,8 km",3/nov/2022,5/nov/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:00
